WM_ID	Centroid_X	Centroid_Y	SR_M	SR_A	SR_B	SR_SUM	REGION_2016	REGION_2017	grid_bio1	grid_bio2	grid_bio3	grid_bio4	grid_bio5	grid_bio6	grid_bio7	grid_bio8	grid_bio9	grid_bio10	grid_bio11	grid_bio12	grid_bio13	grid_bio14	grid_bio15	grid_bio16	grid_bio17	grid_bio18	grid_bio19	pet_ann	Countpnts_t	Avg_t	Range_t	Countpnts_SP	Avg_TSP	Avg_USP	Avg_SSP	Avg_erlong	Avg_HERM02	Avg_HERM24	Avg_HERM46	Avg_HERM68	Avg_HERM81	Avg_HERM10	Avg_HERMER	soil_var	dem_range	Avg_Z	Min_Z	Max_Z	Range_Z	Rugg_avg	Rugg_range	Countpnts_cosmo	E_Calc	dE_Calc	RELIEF_MIN	RELIEF_MAX	RELIEF_RNG	RELIEF_MN	RELIEF_STD	REALM
7045	24.5	70.5	22	1	128	151		SCANDINAVIA	6.27	43.13	177.68	6791.09	139.26	-102.87	242.13	44.16	2.05	105.10	-78.64	596.21	69.35	33.32	23.46	198.83	102.18	166.42	145.25	60.67	3.00	235.43	83.00	3.00	34341.11	25.47	7.13	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.00	1093.00	103.00	44.00	182.00	138.00	114.95	480.00	0	0.00	0.00	1.00	762.21	761.21	272.15	133.13	Eurasian
7397	16.5	69.5	9	-9999	107	116		SCANDINAVIA	36.94	34.31	171.73	5786.71	143.74	-54.94	198.68	55.74	83.15	122.70	-34.30	999.44	133.19	47.96	29.79	364.37	149.81	209.02	269.21	0.00	4.00	145.23	37.80	4.00	174.65	0.19	0.09	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.02	9.00	814.00	139.00	0.00	416.00	416.00	161.96	513.00	0	0.00	0.00	1.40	380.17	378.77	111.02	98.85	Eurasian
7398	17.5	69.5	23	1	114	138		SCANDINAVIA	24.28	38.95	179.32	6223.72	139.57	-76.88	216.45	43.72	74.74	115.15	-53.34	1011.97	127.34	49.14	28.47	363.27	150.95	220.55	279.56	161.50	3.00	168.17	9.20	3.00	190.84	0.23	0.06	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.02	10.00	1070.00	603.33	124.00	1304.00	1180.00	254.30	705.00	0	0.00	0.00	1.00	624.07	623.07	215.57	133.68	Eurasian
7400	19.5	69.5	26	1	133	160		SCANDINAVIA	2.89	43.25	172.43	7159.78	136.24	-113.31	249.55	8.13	28.03	105.10	-88.00	862.01	108.24	41.54	27.23	300.00	130.76	211.85	238.01	85.50	5.00	206.66	71.00	5.00	721.24	0.50	0.14	0.04	0.02	0.02	0.02	0.02	0.02	0.02	0.02	9.00	1841.00	499.40	27.00	714.00	687.00	370.94	1121.00	0	0.00	0.00	1.00	1201.34	1200.34	410.14	254.20	Eurasian
7754	13.5	68.5	8	-9999	78	86		SCANDINAVIA	51.84	17.59	127.76	4233.73	127.41	-10.27	137.68	64.97	81.37	118.11	2.15	1636.03	218.33	63.91	37.00	594.88	198.13	285.84	479.39	0.00	3.00	137.40	69.60	3.00	3768.38	2.73	1.17	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.02	9.00	963.00	28.00	9.00	64.00	55.00	255.66	559.00	0	0.00	0.00	1.00	270.26	269.26	127.43	83.38	Eurasian
7755	14.5	68.5	9	-9999	100	109		SCANDINAVIA	47.50	19.74	133.72	4527.14	128.32	-19.27	147.59	60.66	83.19	117.78	-5.93	1697.88	220.94	75.13	33.26	612.29	240.88	289.77	477.36	195.00	12.00	169.68	103.30	12.00	10524.58	10.53	4.37	0.04	0.02	0.02	0.02	0.02	0.02	0.02	0.02	14.00	1034.00	396.25	75.00	698.00	623.00	293.62	712.00	0	0.00	0.00	1.00	475.24	474.24	136.15	99.44	Eurasian
7756	15.5	68.5	27	1	124	152		SCANDINAVIA	38.10	27.87	153.59	5377.35	136.88	-43.40	180.28	56.17	81.85	119.15	-26.83	1439.51	191.92	65.24	31.93	523.40	203.70	263.87	413.51	81.00	3.00	161.00	84.80	3.00	8324.87	5.96	1.70	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.02	13.00	1251.00	240.67	0.00	671.00	671.00	282.83	733.00	0	0.00	0.00	1.00	545.41	544.41	172.99	122.34	Eurasian
7758	17.5	68.5	26	1	125	152		SCANDINAVIA	-3.94	52.16	188.06	7800.29	144.99	-132.46	277.44	17.53	26.66	106.36	-102.03	906.14	115.21	45.44	26.30	323.58	142.68	232.52	233.74	112.50	5.00	130.48	18.70	5.00	236341.08	39.52	7.54	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.02	10.00	1860.00	587.40	25.00	1369.00	1344.00	324.20	1083.00	0	0.00	0.00	1.00	1230.62	1229.62	549.40	302.31	Eurasian
8113	12.5	67.5	6	-9999	66	72		SCANDINAVIA	53.65	16.71	127.01	4032.69	125.97	-5.59	131.56	71.83	80.36	116.98	6.42	1637.59	220.18	63.04	35.51	602.81	197.55	303.79	464.59	0.00	3.00	125.83	5.80	3.00	0.00	0.00	0.00	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.02	7.00	961.00	6.00	0.00	10.00	10.00	400.33	320.00	0	0.00	0.00	2.33	382.33	380.00	161.76	136.64	Eurasian
8116	15.5	67.5	25	2	137	164		SCANDINAVIA	23.30	37.04	168.36	6358.22	145.14	-74.05	219.19	42.76	45.68	116.73	-54.66	1150.11	148.08	57.82	28.35	416.58	176.08	262.93	302.64	127.75	3.00	130.13	68.00	3.00	745956.32	86.48	13.50	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.02	13.00	1627.00	88.67	0.00	138.00	138.00	291.32	893.00	0	0.00	0.00	6.17	1066.07	1059.90	347.59	228.03	Eurasian
8119	18.5	67.5	28	1	108	137	SCANDINAVIA	SCANDINAVIA	-23.01	54.86	180.74	8554.30	142.45	-161.09	303.54	94.93	-69.60	98.49	-131.14	586.95	85.81	28.83	36.81	240.17	87.98	221.65	104.15	145.50	6.00	198.73	141.50	6.00	383678.46	63.67	11.51	0.04	0.02	0.02	0.02	0.02	0.02	0.02	0.02	7.00	1729.00	812.67	149.00	1533.00	1384.00	212.26	886.00	0	0.00	0.00	449.90	1479.28	1029.38	829.75	233.80	Eurasian
8120	19.5	67.5	29	3	117	149		SCANDINAVIA	-9.63	56.14	181.21	8763.47	160.20	-149.59	309.79	113.13	-90.91	115.64	-120.51	519.16	87.73	23.65	43.71	231.97	72.60	226.39	78.25	135.00	4.00	214.93	61.70	4.00	201973.56	44.29	10.95	0.04	0.02	0.02	0.02	0.02	0.02	0.02	0.02	7.00	892.00	590.50	451.00	695.00	244.00	74.53	428.00	0	0.00	0.00	361.45	1061.21	699.76	585.16	135.03	Eurasian
9191	10.5	64.5	27	4	140	171		SCANDINAVIA	52.88	45.45	222.31	5594.99	166.01	-37.69	203.71	61.25	75.71	134.23	-16.26	1271.66	144.08	63.85	25.02	424.07	206.66	268.73	344.64	249.00	3.00	185.50	16.80	3.00	186260.94	51.55	12.00	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.02	13.00	662.00	18.33	10.00	35.00	25.00	154.18	431.00	0	0.00	0.00	1.00	486.34	485.34	201.04	144.21	Eurasian
9549	8.5	63.5	32	2	150	184		SCANDINAVIA	61.72	34.21	197.77	4900.04	155.01	-16.57	171.58	80.72	72.07	134.49	1.70	1410.50	161.11	68.90	25.52	470.64	220.58	325.12	365.69	185.00	24.00	203.50	153.30	24.00	17800.59	9.21	2.11	0.04	0.02	0.02	0.02	0.02	0.02	0.02	0.02	14.00	1092.00	8.75	5.00	20.00	15.00	178.71	639.00	0	0.00	0.00	1.00	577.76	576.76	141.63	148.91	Eurasian
9550	9.5	63.5	33	3	158	194		SCANDINAVIA	51.62	45.89	222.59	5674.12	165.81	-39.69	205.50	58.28	69.71	134.00	-17.97	1234.96	141.17	59.01	25.21	408.60	192.28	276.53	325.16	187.33	9.00	153.47	70.10	9.00	100199.99	30.30	6.35	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.02	14.00	1154.00	88.78	5.00	684.00	679.00	173.61	514.00	0	0.00	0.00	1.00	712.97	711.97	235.15	171.28	Eurasian
9551	10.5	63.5	32	4	164	200		SCANDINAVIA	45.14	54.54	234.84	6263.71	175.62	-56.56	232.18	64.61	70.48	134.80	-31.94	1161.25	133.89	58.89	23.98	385.27	188.40	275.42	294.14	189.67	6.00	185.53	85.00	6.00	269813.87	50.49	10.81	0.05	0.01	0.01	0.01	0.01	0.01	0.01	0.01	12.00	953.00	72.17	8.00	295.00	287.00	138.74	459.00	0	0.00	0.00	1.00	725.24	724.24	280.09	156.10	Eurasian
9909	8.5	62.5	37	2	164	203		SCANDINAVIA	7.91	52.29	223.66	6378.73	135.75	-97.91	233.66	9.93	26.06	98.19	-72.37	928.22	104.66	40.67	24.97	301.95	134.22	237.68	267.88	189.50	4.00	102.50	18.80	4.00	8806.53	6.58	1.90	0.05	0.03	0.03	0.03	0.03	0.03	0.03	0.03	12.00	2426.00	7.50	5.00	10.00	5.00	345.59	1182.00	0	0.00	0.00	15.75	1697.41	1681.66	931.76	439.02	Eurasian
10268	7.5	61.5	33	2	139	174	SCANDINAVIA	SCANDINAVIA	1.63	55.86	222.83	6810.50	138.86	-111.91	250.77	-11.50	25.66	96.79	-85.62	964.61	118.00	38.34	32.72	343.00	122.08	197.94	317.37	196.00	3.00	129.33	41.00	3.00	1199843.52	191.24	28.93	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.02	9.00	2470.00	1166.33	922.00	1507.00	585.00	416.69	1209.00	0	0.00	0.00	227.75	1759.59	1531.84	1070.02	361.35	Eurasian
10269	8.5	61.5	34	2	143	179	SCANDINAVIA	SCANDINAVIA	-11.52	57.29	221.19	7031.84	131.44	-127.60	259.04	64.05	-24.95	87.31	-101.59	590.96	70.73	24.14	31.11	207.58	81.30	190.83	140.03	204.75	5.00	160.60	41.00	5.00	53639.40	23.30	5.41	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.02	10.00	2135.00	1326.60	1024.00	1994.00	970.00	305.94	988.00	0	0.00	0.00	549.10	1985.24	1436.14	1281.65	299.11	Eurasian
10478	-142.5	60.5	37	3	121	161		NAM	-19.59	36.33	185.53	5828.45	87.05	-107.43	194.48	-2.88	5.26	62.18	-86.72	1924.38	287.56	79.69	41.48	834.00	258.38	439.63	463.05	0.00	9.00	10.53	23.90	9.00	0.00	0.00	0.00	0.48	0.62	0.37	0.25	0.17	0.26	0.29	0.33	9.00	3230.00	1299.56	442.00	2012.00	1570.00	350.16	1093.00	0	0.00	0.00	1.00	2044.41	2043.41	1085.00	510.69	North American
10479	-141.5	60.5	39	3	121	163	NAM	NAM	-56.23	40.10	196.83	5986.73	53.42	-149.99	203.41	-40.10	-9.93	26.26	-126.78	2414.74	353.15	106.34	37.14	1013.89	347.17	515.70	605.62	0.00	3.00	12.73	24.90	3.00	0.00	0.00	0.00	0.53	0.76	0.35	0.18	0.21	0.21	0.21	0.32	9.00	3983.00	956.67	279.00	1387.00	1108.00	295.26	1673.00	0	0.00	0.00	14.50	4181.97	4167.47	1626.92	673.52	North American
10480	-140.5	60.5	37	3	104	144	NAM	NAM	-84.77	46.35	206.41	6471.58	34.48	-190.50	224.98	-67.37	-34.28	2.40	-164.37	2498.79	344.33	119.19	31.63	998.57	385.98	486.55	646.24	0.00	14.00	22.94	37.10	14.00	0.00	0.00	0.00	0.33	0.55	0.46	0.29	0.29	0.28	0.26	0.35	4.00	5665.00	4384.43	1783.00	5924.00	4141.00	355.87	2201.00	0	0.00	0.00	341.59	4850.24	4508.65	2024.02	848.73	North American
10481	-139.5	60.5	38	2	109	149	NAM	NAM	-87.12	49.81	201.65	7067.48	42.74	-204.43	247.17	-48.88	-81.82	7.48	-176.73	1901.00	254.90	98.99	29.39	740.46	315.40	399.51	455.41	0.00	4.00	3.25	2.70	4.00	0.00	0.00	0.00	0.95	0.97	0.60	0.36	0.30	0.31	0.34	0.48	5.00	4779.00	1819.25	922.00	2499.00	1577.00	378.29	1997.00	0	0.00	0.00	70.84	3382.28	3311.43	2052.58	618.09	North American
10628	7.5	60.5	34	2	135	171	SCANDINAVIA	SCANDINAVIA	-5.89	57.76	231.09	6732.40	133.72	-116.24	249.96	0.95	10.64	88.97	-90.56	971.90	112.36	41.43	26.99	326.60	132.32	211.35	299.57	211.75	8.00	137.13	83.00	8.00	372031.85	98.84	17.81	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.02	8.00	2165.00	886.13	206.00	1477.00	1271.00	192.03	1209.00	0	0.00	0.00	394.57	1637.48	1242.92	1252.06	208.88	Eurasian
10631	10.5	60.5	44	4	170	218		SCANDINAVIA	42.93	66.40	235.21	7466.51	197.71	-84.57	282.28	107.59	-34.42	148.16	-52.16	771.96	89.63	36.72	28.95	264.74	120.72	242.49	123.91	268.50	6.00	180.83	87.00	6.00	60837.60	32.02	8.11	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.02	14.00	1023.00	280.50	20.00	653.00	633.00	121.92	424.00	0	0.00	0.00	78.97	814.97	736.00	393.91	143.62	Eurasian
10632	11.5	60.5	42	4	158	204		SCANDINAVIA	46.45	67.81	234.20	7650.25	203.53	-86.00	289.53	125.59	-29.44	153.25	-52.26	727.23	84.71	35.00	28.78	247.86	112.11	233.67	116.37	273.00	4.00	185.50	156.00	4.00	19911.32	11.25	3.10	0.04	0.02	0.02	0.02	0.02	0.02	0.02	0.02	14.00	749.00	319.25	108.00	397.00	289.00	73.11	492.00	0	0.00	0.00	123.28	687.00	563.72	296.19	117.50	Eurasian
10842	-138.5	59.5	36	3	120	159		NAM	0.47	48.65	199.49	6878.35	121.87	-122.01	243.87	23.18	57.10	91.52	-91.85	2513.52	371.24	115.81	36.02	1057.74	378.92	543.01	651.25	0.00	5.00	2.46	1.80	5.00	0.00	0.00	0.00	1.14	0.88	0.49	0.31	0.29	0.16	0.16	0.38	10.00	2851.00	776.40	571.00	1250.00	679.00	308.21	1275.00	0	0.00	0.00	1.00	2040.07	2039.07	692.59	464.67	North American
10989	8.5	59.5	37	3	147	187		SCANDINAVIA	30.37	61.69	239.71	6785.15	174.09	-83.26	257.34	59.24	-4.04	126.28	-54.72	907.22	107.96	44.37	28.48	316.24	142.24	254.52	166.44	268.75	9.00	184.56	90.00	9.00	16192.94	10.11	2.32	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.02	11.00	1787.00	1001.33	204.00	1579.00	1375.00	220.71	1073.00	0	0.00	0.00	169.45	1349.45	1180.00	698.67	270.60	Eurasian
10990	9.5	59.5	40	5	161	206		SCANDINAVIA	53.42	61.44	233.54	6961.31	198.39	-64.38	262.77	57.96	7.36	151.41	-34.91	929.73	112.97	46.78	29.00	327.78	151.73	259.79	163.60	253.50	4.00	183.50	104.00	4.00	906150.78	63.22	9.81	0.04	0.02	0.02	0.02	0.02	0.02	0.02	0.02	16.00	1327.00	89.00	6.00	194.00	188.00	143.46	442.00	0	0.00	0.00	18.75	986.97	968.22	316.94	198.03	Eurasian
10991	10.5	59.5	41	5	165	211		SCANDINAVIA	63.60	61.05	227.06	7155.90	209.08	-59.24	268.33	73.73	10.88	163.20	-28.63	905.71	111.93	47.75	27.38	321.35	156.69	239.55	162.33	172.33	13.00	191.00	52.00	13.00	28610.39	5.88	1.90	0.05	0.01	0.01	0.01	0.01	0.01	0.01	0.01	17.00	700.00	187.15	5.00	560.00	555.00	79.29	359.00	0	0.00	0.00	1.00	589.03	588.03	119.32	113.18	Eurasian
11187	-153.5	58.5	33	1	110	144		NAM	26.59	26.89	159.05	5114.84	117.99	-50.39	168.38	47.78	87.46	104.08	-31.93	1423.05	161.70	81.66	19.89	469.32	257.49	316.35	367.71	393.00	4.00	62.25	24.00	4.00	0.00	0.00	0.00	0.08	0.24	0.24	0.24	0.24	0.24	0.24	0.24	12.00	2112.00	0.00	0.00	0.00	0.00	315.22	784.00	0	0.00	0.00	1.00	1182.97	1181.97	347.52	285.09	North American
11336	-4.5	58.5	26	4	121	151		GB	76.29	25.53	224.00	3144.15	137.33	24.01	113.33	69.30	94.27	123.59	38.02	1238.56	144.68	67.92	25.73	426.40	208.00	253.34	323.95	210.50	6.00	288.25	149.00	6.00	3383.43	2.28	0.80	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	18.00	976.00	72.33	-48.00	337.00	385.00	135.87	625.00	0	0.00	0.00	8.50	579.38	570.88	213.07	108.35	Eurasian
11347	6.5	58.5	31	3	161	195		SCANDINAVIA	54.07	45.94	222.00	5546.42	165.87	-40.21	206.09	37.63	69.52	133.47	-16.72	2012.54	255.77	91.24	33.06	729.31	281.54	436.56	516.46	193.50	15.00	230.47	76.00	15.00	157561.23	29.28	6.33	0.03	0.01	0.01	0.01	0.01	0.01	0.01	0.01	11.00	1197.00	327.33	0.00	3215.00	3215.00	184.85	646.00	0	0.00	0.00	5.75	1030.69	1024.94	413.63	246.07	Eurasian
11348	7.5	58.5	32	4	161	197		SCANDINAVIA	51.47	49.68	222.49	5957.95	172.94	-48.74	221.67	34.96	64.42	136.12	-24.26	1597.04	197.88	74.63	30.47	572.48	232.56	374.51	412.30	306.25	7.00	232.24	125.10	7.00	132150.47	23.19	5.00	0.03	0.01	0.01	0.01	0.01	0.01	0.01	0.01	12.00	1175.00	434.57	0.00	950.00	950.00	120.55	459.00	0	0.00	0.00	3.00	1020.07	1017.07	441.66	261.41	Eurasian
11547	-153.5	57.5	4	-9999	107	111		NAM	33.68	30.54	187.86	4676.61	123.39	-38.89	162.28	52.61	12.31	106.10	-19.49	1482.55	170.24	88.46	19.53	497.52	283.06	330.00	338.31	248.00	6.00	32.33	19.00	6.00	0.00	0.00	0.00	0.15	0.18	0.18	0.18	0.18	0.18	0.18	0.18	13.00	1413.00	243.83	0.00	770.00	770.00	350.60	830.00	0	0.00	0.00	1.00	858.48	857.48	340.44	195.23	North American
11548	-152.5	57.5	4	-9999	102	106		NAM	44.74	21.29	148.54	4335.17	124.60	-18.34	142.94	63.93	88.31	112.48	-4.26	1688.46	192.90	98.13	19.61	554.16	316.02	329.19	429.21	673.00	4.00	36.00	6.00	4.00	0.00	0.00	0.00	0.10	0.17	0.17	0.17	0.17	0.17	0.17	0.17	13.00	1277.00	334.00	0.00	922.00	922.00	265.74	661.00	0	0.00	0.00	1.00	763.83	762.83	197.07	167.78	North American
11695	-5.5	57.5	26	5	128	159		GB	73.87	35.45	268.13	3456.27	145.37	13.90	131.47	57.65	93.80	124.70	31.60	1968.59	234.97	99.65	30.59	694.39	305.43	370.54	528.58	219.00	20.00	140.38	261.70	20.00	16490.14	8.18	2.27	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	15.00	1171.00	187.55	-62.00	779.00	841.00	275.87	698.00	0	0.00	0.00	1.00	721.28	720.28	273.47	168.18	Eurasian
11696	-4.5	57.5	27	5	139	171		GB	70.94	43.47	293.12	3716.87	152.53	4.88	147.66	45.90	99.18	125.48	25.47	1171.01	136.72	63.85	24.68	400.90	199.62	231.06	364.18	226.67	4.00	233.05	70.00	4.00	615723.58	78.34	16.01	0.03	0.01	0.01	0.01	0.01	0.01	0.01	0.01	18.00	1073.00	285.25	40.00	373.00	333.00	167.70	490.00	0	0.00	0.00	2.57	729.10	726.53	307.13	182.41	Eurasian
12055	-5.5	56.5	27	5	128	160		GB	81.50	38.61	276.81	3608.79	157.47	18.51	138.95	43.46	94.03	133.99	36.99	2145.44	251.10	104.49	29.95	741.51	320.28	432.22	607.50	255.67	4.00	248.25	122.00	4.00	4079405.39	309.57	43.12	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	17.00	1340.00	231.00	-14.00	509.00	523.00	249.60	935.00	0	0.00	0.00	1.00	668.45	667.45	189.32	122.09	Eurasian
12056	-4.5	56.5	29	5	136	170		GB	68.98	52.40	317.76	4001.69	161.07	-3.72	164.79	19.85	93.29	126.84	19.40	1723.20	215.98	85.00	30.22	623.06	268.81	330.96	616.30	249.00	4.00	209.90	157.30	4.00	47030.38	24.46	6.19	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	15.00	1270.00	279.75	30.00	458.00	428.00	230.12	685.00	0	0.00	0.00	33.13	813.38	780.25	379.59	160.82	Eurasian
12058	-2.5	56.5	30	5	134	169		GB	84.13	43.74	285.15	3868.92	170.75	17.64	153.10	74.47	63.60	141.67	37.11	776.69	80.05	51.25	13.85	229.22	159.96	202.94	203.55	265.00	13.00	236.30	319.90	13.00	98917.20	22.46	5.28	0.03	0.05	0.05	0.05	0.05	0.05	0.05	0.05	17.00	926.00	81.31	25.00	171.00	146.00	76.77	337.00	0	0.00	0.00	1.00	641.41	640.41	139.45	147.34	Eurasian
12416	-4.5	55.5	30	5	134	169		GB	85.37	46.61	303.31	3794.66	170.53	17.33	153.20	67.75	93.90	140.64	38.52	1345.91	151.74	70.76	26.13	444.29	220.22	302.00	357.28	279.75	11.00	159.70	329.60	11.00	45275.70	13.00	3.81	0.06	0.04	0.04	0.04	0.04	0.04	0.04	0.04	17.00	841.00	151.27	-9.00	534.00	543.00	82.81	433.00	0	0.00	0.00	1.80	493.52	491.72	180.95	112.02	Eurasian
12417	-3.5	55.5	32	6	132	170		GB	81.56	50.19	309.46	3959.84	172.97	10.98	161.99	55.03	87.78	139.43	32.86	1131.32	122.80	62.12	21.53	360.31	203.45	267.45	310.36	268.50	10.00	194.15	184.10	10.00	193359.23	27.44	7.58	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.02	16.00	837.00	169.40	87.00	318.00	231.00	94.61	427.00	0	0.00	0.00	1.00	570.17	569.17	241.07	126.39	Eurasian
12418	-2.5	55.5	32	5	138	175		GB	83.10	47.35	296.47	3954.69	173.54	14.06	159.48	60.03	65.18	141.68	34.76	884.44	90.36	55.37	14.96	266.15	177.53	230.54	216.43	268.25	3.00	247.47	209.10	3.00	27431.96	5.68	2.03	0.04	0.02	0.02	0.02	0.02	0.02	0.02	0.02	17.00	830.00	166.33	59.00	223.00	164.00	82.10	375.00	0	0.00	0.00	2.00	544.00	542.00	210.70	107.33	Eurasian
12652	-128.5	54.5	45	6	101	152		NAM	32.17	66.66	268.90	6396.60	167.62	-80.49	248.12	0.03	84.26	121.70	-53.37	1435.85	223.98	48.21	50.60	617.51	149.28	188.17	557.80	329.75	3.00	23.80	13.00	3.00	15995262.25	377.02	45.59	0.17	0.19	0.19	0.19	0.19	0.18	0.18	0.19	12.00	2689.00	272.33	94.00	445.00	351.00	486.70	1223.00	0	0.00	0.00	89.76	1744.21	1654.45	827.82	387.26	North American
12776	-4.5	54.5	30	5	130	165		GB	94.50	33.40	249.70	3552.67	166.35	33.50	132.85	88.42	98.02	146.53	49.91	1158.82	134.17	65.66	24.80	385.54	200.85	265.96	278.27	465.50	12.00	160.47	184.40	12.00	24244.21	10.51	3.23	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	19.00	708.00	64.00	-4.00	174.00	178.00	69.55	337.00	0	0.00	0.00	1.00	391.83	390.83	82.63	76.57	Eurasian
12777	-3.5	54.5	33	6	135	174		GB	89.97	38.05	261.06	3815.67	170.02	24.53	145.49	88.65	91.50	145.81	42.14	1254.33	144.86	70.41	23.97	414.26	217.72	297.61	300.52	143.00	17.00	96.62	268.80	17.00	98370.52	24.41	6.27	0.05	0.04	0.04	0.04	0.04	0.04	0.04	0.04	19.00	959.00	102.94	-66.00	408.00	474.00	139.31	543.00	0	0.00	0.00	1.00	513.66	512.66	135.88	137.20	Eurasian
12778	-2.5	54.5	33	5	139	177		GB	80.98	48.82	298.57	4024.87	172.80	9.48	163.32	40.89	83.50	140.10	31.02	1265.29	141.72	73.87	22.25	419.04	226.46	292.84	335.29	298.50	35.00	100.82	219.00	35.00	106784.50	25.35	6.11	0.06	0.05	0.05	0.05	0.05	0.05	0.05	0.05	15.00	890.00	300.74	-90.00	550.00	640.00	115.43	466.00	0	0.00	0.00	2.75	616.41	613.66	285.58	156.80	Eurasian
