"","WM_ID","Centroid_X","Centroid_Y","SR_M","SR_A","SR_B","SR_SUM","REGION_2016","REGION_2017","grid_bio1","grid_bio2","grid_bio3","grid_bio4","grid_bio5","grid_bio6","grid_bio7","grid_bio8","grid_bio9","grid_bio10","grid_bio11","grid_bio12","grid_bio13","grid_bio14","grid_bio15","grid_bio16","grid_bio17","grid_bio18","grid_bio19","pet_ann","Countpnts_t","Avg_t","Range_t","Countpnts_SP","Avg_TSP","Avg_USP","Avg_SSP","Avg_erlong","Avg_HERM02","Avg_HERM24","Avg_HERM46","Avg_HERM68","Avg_HERM81","Avg_HERM10","Avg_HERMER","soil_var","dem_range","Avg_Z","Min_Z","Max_Z","Range_Z","Rugg_avg","Rugg_range","Countpnts_cosmo","E_Calc","dE_Calc","RELIEF_MIN","RELIEF_MAX","RELIEF_RNG","RELIEF_MN","RELIEF_STD","REALM","HERMratio"
"356",28548,-72.5,10.5,188,30,505,723,"","ANDES",238.19,58.09,656.72,624.29,282.54,193.97,88.57,237.73,230.92,246.65,229.06,1145.67,189.96,11.49,63.25,549.25,41.06,339.81,68.16,1795.5,7,15.97,24.6,7,303396.72,64.09,13.78,0.44,0.5,0.29,0.18,0.18,0.09,0.09,0.22,19,3617,205.71,110,320,210,221.13,997,0,0,0,1.03,3166.17,3165.14,643,756.46,"South American",2.77777777777778
"357",28556,-64.5,10.5,172,24,374,570,"","ANDES",250.14,49.62,631.08,601.47,290.1,212.13,77.97,250.08,247.19,258.54,240.6,942.79,164.07,12.1,67.9,474.32,37.55,171.12,75.23,2144,4,30.8,54.8,4,84150.35,30.77,7.92,0.19,0.22,0.22,0.22,0.22,0.22,0.22,0.22,16,2439,115,80,220,140,276.19,731,0,0,0,1,1900.66,1899.66,346.2,443.71,"South American",1
"358",28557,-63.5,10.5,180,32,435,647,"","ANDES",240.68,44.93,618.63,621.06,277.93,205.52,72.41,241.01,236.83,248.38,230.51,1291.6,187.32,29.08,50.21,550.04,91.78,263.39,180.14,1661,15,52.81,188.2,15,244348.61,41.65,8.22,0.17,0.24,0.24,0.24,0.24,0.24,0.24,0.24,20,2586,353.67,5,800,795,207.96,1007,0,0,0,1,1979.9,1978.9,398.01,410.91,"South American",1
"360",28910,-70.5,9.5,210,49,499,758,"","ANDES",221.05,65.88,684.37,460.38,267.33,171.03,96.3,223.42,215.92,227.16,213.43,1247.6,170.43,35.45,42.44,488.29,117.71,370.94,196.1,1666.5,13,21.24,142.5,13,714664.06,164.95,25.23,0.47,0.71,0.48,0.22,0.12,0.1,0.05,0.28,19,4113,1530.38,700,2300,1600,347.3,1096,0,0,0,10.24,3500.07,3489.83,1062.52,862.95,"South American",3.22727272727273
"361",28913,-67.5,9.5,179,36,319,534,"","ANDES",262.68,63.44,609.29,880.36,324.09,219.76,104.33,252.02,265.89,278.61,251.92,1127.91,193.04,3.94,77.13,563.38,12.84,130.69,558.51,1599.25,11,25.44,32.7,11,45710.55,20.32,6.2,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9,1845,266.36,182,371,189,66.13,648,0,0,0,61.97,1393.76,1331.79,268.21,223.32,"South American",1
"362",28914,-66.5,9.5,177,35,308,520,"","ANDES",262.31,64.8,625.73,770.68,320.6,216.92,103.68,254.89,265.19,276.54,253.68,999.9,176.82,5.76,79.66,523.5,19.32,107.68,408.04,1609.5,15,18.26,23,15,23938.65,22.73,6,0.24,0.26,0.26,0.26,0.26,0.26,0.26,0.26,11,1557,469.73,324,1019,695,41.47,595,0,0,0,105.24,1110.07,1004.83,267.35,174.38,"South American",1
"363",28915,-65.5,9.5,175,31,257,463,"","ANDES",273.29,66.36,632.69,715.55,331.3,226.29,105.01,267.27,277.19,286.29,265.42,958.38,171.62,4.82,78.38,509.06,16.83,112.1,323.26,1678.25,26,70.6,345.8,26,48692.35,33,9.37,0.12,0.19,0.19,0.19,0.19,0.19,0.19,0.19,10,1077,310.77,273,351,78,28.28,287,0,0,0,12.41,696.72,684.31,127.42,102.5,"South American",1
"364",29269,-71.5,8.5,221,78,572,871,"","ANDES",191.84,62.91,666.99,511.24,236.93,142.35,94.58,192.52,185.29,198.43,183.5,1526.98,193.13,52.78,37.31,548.92,168.69,411.33,236.01,1432.5,36,6.81,24.5,36,574135.72,129.45,19.7,0.59,0.86,0.57,0.33,0.27,0.29,0.29,0.44,20,4871,2635.31,450,4718,4268,418.19,1221,0,0,0,4.69,4207.24,4202.55,1428.75,1096.18,"South American",2.60606060606061
"365",29270,-70.5,8.5,209,63,572,844,"","ANDES",221.57,59.55,659.82,522.7,269.17,178.81,90.36,218.02,223.51,229.96,213.69,1771.29,255.74,19.93,57.92,741.12,73.8,280.38,682.31,1550,18,8.66,28.2,18,465525.75,132.99,20.97,0.53,0.92,0.61,0.25,0.21,0.23,0.22,0.41,18,4759,2859.72,400,4090,3690,200.66,1305,0,0,0,100.45,4255.52,4155.07,894.77,1163.61,"South American",3.68
"367",29627,-73.5,7.5,179,55,441,675,"","ANDES",243.83,66.41,715.39,366.57,290.68,197.83,92.85,242.45,238.9,248.29,238.35,2027.62,282.1,46.37,43.47,799.62,176.43,560.15,298.71,1560.25,21,44.41,65.2,21,3406335.16,97.98,13.22,0.12,0.17,0.17,0.17,0.17,0.17,0.17,0.17,14,3550,561.24,167,1150,983,188.08,1214,0,0,0,17.21,3293,3275.79,558.21,763.56,"South American",1
