"","Achnanthes.arenaria","Achnanthes.spp","Achnanthidium.exiguum","Achnanthidium.minutissimum","Amphora.acutiuscula","Amphora.atacamana","Amphora.atacamana.var.minor","Amphora.boliviana.var.elongata","Amphora.carvajaliana","Amphora.coffeaeformis","Amphora.copulata","Amphora.ovalis","Amphora.pediculus","Amphora.veneta","Anomoeneis.brachysira","Anomoeoneis.sphaephora.f.costata","Anomoeoneis.sphaerophora","Aulacoseira.alpigena","Aulacoseira.ambigua","Aulacoseira.cf.pusilla","Aulacoseira.distans","Aulacoseira.granulata","Aulacoseira.granulata.var.angustissima","Aulacoseira.herzogii","Aulacoseira.italica","Brachysira.brebissonii","Brachysira.microcephala","Brachysira.vitrea","Caloneis.westii","Cavinula.pseudoscutiformis","Cocconeis.placentula.placentula","Cocconeis.placentula.var.euglypta","Cocconeis.placentula.var.lineata","Cocconeis.placentula.var.placentula","Craticula.ambigua","Craticula.cuspidata","Craticula.halophila","Cyclostephanos.andinus","Cyclostephanos.tholiformis","Cyclotella.meneghiniana","Cyclotella.ocellata","Cymbella.cf.affinis","Cymbella.cymbiformis.cystula","Cymbella.sp.1.CAUCA","Cymbella.ventricosa","Denticula.elegans","Denticula.kuetzingii","Denticula.valida","Diadesmis.confervacea","Diadesmis.contenta","Diatoma.mesodon","Diatoma.tenius","Diatoma.vulgaris","Diploneis.ovalis","Diploneis.subovalis","Discostella.stelligera","Encyonema.cf.krammeri","Encyonema.gracile","Encyonema.minutiforme","Encyonema.minutum","Encyonema.neogracile","Encyonema.silesiacum","Encyonema.tenuissimum","Encyonopsis.cesatii","Encyonopsis.cf.difficiliformis","Encyonopsis.cf.krammerioides","Encyonopsis.cf.subminuta","Encyonopsis.krammeroides","Encyonopsis.microcephala","Encyonopsis.sp.1.LLAVIUCU","Encyonopsis.subminuta","Entomoneis.paludosa.var.subsalina","Eolimna.minima","Epithemia.adnata","Epithemia.argus","Epithemia.sorex","Epithemia.turgida","Eunotia.bilunaris","Eunotia.camelus","Eunotia.cf.arcus","Eunotia.didyma","Eunotia.flexuosa","Eunotia.incisa","Eunotia.minor","Eunotia.naegelii","Eunotia.paludosa","Eunotia.subacuartoides","Eunotia.transfuga","Fragilaria.aff.nanana","Fragilaria.capucina","Fragilaria.capucina.var.gracilis","Fragilaria.crotonensis","Fragilaria.nanana","Fragilaria.pinnata.var.lancettula","Fragilaria.santamarensis","Fragilaria.sp.1.LAGUNILLAS","Fragilaria.tenera","Fragilaria.vaucheriae","Fragilariforma.javanica","Fragilariforma.virescens","Frustulia.aff..megaliesmontana","Frustulia.crassinerva","Frustulia.rhomboides","Gomphonema.acuminatum","Gomphonema.angustatum","Gomphonema.cf.minusculum","Gomphonema.cf.subtile","Gomphonema.gracile","Gomphonema.lagenula","Gomphonema.minutum","Gomphonema.parvulum","Gomphonema..pumilum","Gomphonema.sp.1.ESTRELLANI","Gomphonema.truncatum","Gomphonema.truncatum.var.capitatum","Gomphonema.variostriatum","Gyrosigma.acuminatum","Halamphora.kevei","Haloroundia.speciosa","Hantzschia.amphioxys","Hantzschia.sp.1.SUDLIPEZ","Hippodonta.hungarica","Kobayasiella.subtilissima","Lemnicola.hungarica","Luticola.mutica","Luticola.nivalis","Mastoglia.atacamae","Navicula.capitatoradiata","Navicula.cariocincta","Navicula.cf.dilucida","Navicula.cincta","Navicula.criptotenelloides","Navicula.cryptocephala","Navicula.cryptotenella","Navicula.erifuga","Navicula.gregaria","Navicula.heimansioides.sensu","Navicula.lauca","Navicula.margalithii","Navicula.menisculus","Navicula.paramutica.var.binodis","Navicula.peregrina","Navicula.pseudolanceolata","Navicula.radiosa","Navicula.radiosa.var.parva","Navicula.salinicola","Navicula.sp.1.CAUCA","Navicula.tripunctata","Navicula.trivialis","Navicula.veneta","Navicula.viridulacalcis","Navicymbula.pusilla","Nitzschia.accedens.var.chilensis","Nitzschia.agnita","Nitzschia.alpina","Nitzschia.amphibia","Nitzschia.archibaldii","Nitzschia.cf.archibaldii","Nitzschia.cf.palea","Nitzschia.cf.perminuta","Nitzschia.cf.pusilla","Nitzschia.chungara","Nitzschia.compressa","Nitzschia.dissipata","Nitzschia.epithemioides","Nitzschia.fonticola","Nitzschia.frustulum","Nitzschia.hantzschiana","Nitzschia.inconspicua","Nitzschia.liebertruthii","Nitzschia.linearis","Nitzschia.oberheimiana","Nitzschia.palea","Nitzschia.paleacea","Nitzschia.perminuta","Nitzschia.pumila","Nitzschia.pusilla","Nitzschia.sigma","Nitzschia.sigmoidea","Nitzschia.sp.1.CAUCA","Nitzschia.tropica","Nitzschia.valdecostata","Nitzshia fonticola/lacuum","Pinnularia.borealis","Pinnularia.brauniana","Pinnularia.maior","Pinnularia.microstauron","Pinnularia.obscura","Pinnularia.subgibba","Pinnularia.termitina","Pinnularia.viridis","Planothidium.delicatulum","Planothidium.lanceolatum","Psammothidium.chlidanos","Psammothidium.grischunum","Psammothidium.subatomoides","Pseudostaurosira.brevistriata","Pseudostaurosira.cf.sajamaensis","Pseudostaurosira.subsalina","Pseudostaurosira.zeilleri","Pseudostaurosira.zeilleri.var.capitellata","Reimeria.sinuata","Rhoicosphenia.abbreviata","Rhopalodia.gibba","Rhopalodia.wetzelii","Sellaphora.laevissima","Sellaphora.pupula","Sellaphora.rectangularis","Sellaphora.seminulum","Stauroneis.bathurstensis","Stauroneis.gracilior","Stauroneis.gracilis","Stauroneis.phoenicenteron","Staurophora.wislouchii","Staurosira.construens","Staurosira.construens.var.venter","Staurosirella.lapponica","Staurosirella.leptostauron","Staurosirella.pinnata","Stenopterobia.delicatissima","Surirella.linearis","Surirella.sella","Surirella.wetzelii","Synedra.acus","Synedra.nana","Synedra.rumpens","Tabellaria.fenestrata","Tabellaria.flocculosa.str.IV","Tabellaria.tabulata","Tryblionella.apiculata","Tryblionella.hungarica","Ulnaria.delicatissima","Ulnaria.delicatissima.var.angustissima","Ulnaria.ulna"
"1",0,0,0.43956044,0,0,0,0,0,0,0,0.659340659,0,0,6.373626374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21978022,0,4.175824176,1.758241758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43956044,0,0,0.879120879,0,0,0,0,0,0,0,0,0,0,0,0,0.21978022,0,0,0,0,0,0,0.43956044,0,0,0,0,0,0,0,0,0,0,0,0,0,1.758241758,0,0,0,0,0,1.758241758,0,0.43956044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659340659,0,0.21978022,0,0,0,0,2.197802198,0.659340659,0,0,0,0,0,0,0,0,0,2.637362637,0,4.835164835,0,0,0,1.758241758,0,0,0,0,0,0,0,2.637362637,0,0.43956044,0,0,0,0,0,0,1.318681319,0,1.098901099,2.857142857,0,0,0,0,0,1.098901099,0.659340659,0,0,0,0,0,0,0,0,1.538461538,0,0,0,0,0,1.978021978,0,0,0,0,0,0,0,1.758241758,0,0,0,0,0.659340659,11.42857143,0,0,0,0,0,0,0,0,0.659340659,0,0,0,0,0,0,0,0,0,0,0,4.835164835,0,0,0,0,0.659340659,0,0,0,0,2.637362637,2.637362637,12.52747253,0,0,0
"2",0,0,0,0,1.834862385,0,0,0,0,5.321100917,0,0,0,11.37614679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.18348624,0,8.073394495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77981651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183486239,0,0,0,0,0,0,0,0.366972477,0,2.385321101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.834862385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77981651,0,0,0,0,11.55963303,0.366972477,0.183486239,0,0,0
"3",0,0,0,0,7.531380753,0,0,0,0,1.673640167,0,0,0,1.464435146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209205021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.046025105,0,0,0,0,0,0,0,0,0,0,0,51.46443515,0,0,0,17.78242678,0,0.418410042,0,0,0,0,0,0,0.627615063,0,5.230125523,0,0,0,0,0,0,0,0.418410042,0.209205021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209205021,0,0,0,0
"4",0,0,1.168614357,57.0951586,0,0,0,0,0,0,0,0,0,2.170283806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.011686144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333889816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.003338898,0,0,21.36894825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166944908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234192037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9882904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.79625293,0,0,0,0.702576112,0,0,0,0,0,0,0,0,0.234192037,0,0,0.234192037,0,0,0,0,0,0.234192037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0.595238095,0,0.198412698,0,0,0,0,0,0,0,0,1.388888889,0,0,0.396825397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198412698,0,0,0,0,0,0,0,0.595238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198412698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.388888889,0.198412698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198412698,0,0,0,3.968253968,0,0,0,0.793650794,0,0,0,0,0,0.198412698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793650794,1.984126984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.174603175,0,0,0,0,1.388888889,27.38095238,18.25396825,0,0,0,0,0.595238095,0,0,0,0,0,0,0,0,0,0,0,6.944444444,0,0,0,0,0,0,0,0,0,0,0,0,1.388888889,0.198412698,2.182539683,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,15.18737673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197238659,0,0,0,0,0,0,0,0,0,1.57790927,0,0,1.380670611,0,0,0,0,0,0,5.128205128,0,0,0,0,0,0,0,0.197238659,0,0,0,1.380670611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.564102564,0,0,0,0,0,0,0,1.972386588,0,2.366863905,0.197238659,0,0,0,0,0,0,0,3.550295858,1.380670611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.775147929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197238659,0,0,0,0,0,0,0,0,0,40.43392505,19.32938856,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0.257069409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771208226,0.257069409,0,0,0,0,0,0,0,0,0,0,0,0,1.028277635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771208226,0,1.285347044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.341902314,0,0,0,0,2.827763496,0,0,0,0,0,0,0,0,0,0,0.257069409,0,0,0,0,0,0,0,0,0,0.257069409,0,0,0,0,0,0,0,0,0,0,0,0.257069409,0,0,0,0,0,2.570694087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257069409,0,2.05655527,0,0,0,0,0,0,0,0,0,0,0,0,0.257069409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257069409,0,0,0,0,0.514138817
"9",0,0,0,0,0,0,0,0,0,0,0.60483871,0,0,5.040322581,0,0,0.201612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201612903,0.806451613,0.201612903,0,0,0,0,0,0,0.201612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.008064516,0,1.814516129,0,0,0,0,0,0,0,0,0,0,0.806451613,0,1.411290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.814516129,0,2.016129032,0,0,0,0,0,0,0,0,0,0,0,6.653225806,0,0.403225806,0,0,0,0,0,0.60483871,23.18548387,0,0.60483871,6.451612903,0,0,0,0,0,0,0.201612903,0,1.612903226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60483871,0,0,0,0,1.814516129,1.814516129,0,0,0,0,0,0,0,0,6.653225806,0,0,0,0,0,0,0,0,0,0,0,1.411290323,0,0,0,0.201612903,1.209677419,0,0,0,0,0,0,3.830645161,0,0,0
"10",0,0,0,0,0.21691974,0,0,0,0,0,0,0,0,0.650759219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650759219,0,0,0.650759219,0,0,0.21691974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21691974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.084598698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.55965293,0,0,0,5.856832972,0.867678959,1.301518438,3.036876356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.676789588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21691974,0,0,0,0,0,5.206073753,0,0,0,0
