"","Lake","code","Longitude","Latitude","Region","Year"
"1","Flood Plain Pond near Pipeline","Brdb-SA_FldPlPnP",-68.61903333,-17.3261,"Desaguadero-SAltiplano",2001
"2","Huancaroma Dairy","Brdb-SA_HncrmDry1",-67.48318333,-17.666,"Desaguadero-SAltiplano",2001
"3","Huancaroma Dairy","Brdb-SA_HncrmDry2",-67.48108333,-17.66081667,"Desaguadero-SAltiplano",2001
"4","Laguna Chairiri","Brdb-SA_LagnChrr",-67.64608333,-22.52805,"Desaguadero-SAltiplano",2001
"5","Laguna Blanca S.  Rio Jalsuri Uma","Brdb-SA_LgBS.RJU1",-68.54858333,-17.46771667,"Desaguadero-SAltiplano",2001
"6","Laguna Desaguadero","Brdb-SA_LgnDsgdr",-68.78646667,-16.98438333,"Desaguadero-SAltiplano",2001
"7","Laguna Soledad (Uru Uru)","Brdb-SA_LgS(UUr)2",-67.30683333,-17.74518333,"Desaguadero-SAltiplano",2001
"8","N Lago Poopo plain","Brdb-SA_NLgPppln1",-66.95296667,-18.56863333,"Desaguadero-SAltiplano",2001
"9","Rio Desaguadero Bridge (pipeline)","Brdb-SA_RDB(ppl)",-68.61775,-17.3132,"Desaguadero-SAltiplano",2001
"10","Rio Desaguadero","Brdb-SA_RDesagdr1",-67.04055,-18.35068333,"Desaguadero-SAltiplano",2001
"11","Rio Desaguadero at Parco Khota","Brdb-SA_RDsgdaPK",-68.67813333,-17.21141667,"Desaguadero-SAltiplano",2001
"12","Rio Desaguadero: downstream from Desaguadero","Brdb-SA_RDsg:dfD",-68.96798333,-16.64406667,"Desaguadero-SAltiplano",2001
"13","Rio Desaguadero Balsa Crossing","Brdb-SA_RDsgdrBC1",-67.0862,-18.19896667,"Desaguadero-SAltiplano",2001
"14","Rio Desaguadero: Nazacara N.","Brdb-SA_RDsg:NN.",-68.79683333,-16.8787,"Desaguadero-SAltiplano",2001
"15","Rio Desaguadero: Poopo (town)","Brdb-SA_RDsg:P()",-67.04775,-18.3736,"Desaguadero-SAltiplano",2001
"16","Road tracks & N Lago Poopo plain","Brdb-SA_Rdt&NLPp",-66.9962,-18.55251667,"Desaguadero-SAltiplano",2001
"17","Rio Mauri","Brdb-SA_RioMauri",-68.63476667,-17.29288333,"Desaguadero-SAltiplano",2001
"18","Rio Poopo drainage","Brdb-SA_RPopdrng",-67.01645,-18.3827,"Desaguadero-SAltiplano",2001
"19","Rio Quebrada Huajra Uma","Brdb-SA_RQbrdHjU",-68.42196667,-17.50253333,"Desaguadero-SAltiplano",2001
"20","Salcro Tarquiamaya","Brdb-SA_SlcrTrqm",-68.58638333,-17.47948333,"Desaguadero-SAltiplano",2001
"21","Acopia","Bush-Gd_Acopia",-71.52088611,-14.08415833,"Peruvian Andes",2009
"22","Huamanmarca","Bush-Gd_Huamnmrc",-72.37284167,-13.031125,"Peruvian Andes",2009
"23","Miski","Bush-Gd_Miski",-72.37284167,-13.031125,"Peruvian Andes",2009
"24","Pacucha","Bush-Gd_Pacucha",-73.31976389,-13.61605278,"Peruvian Andes",2009
"25","Chepical","Chl-Crr_Chepical",-70.4972,-32.2571,"Chile-Andean",2013
"26","Laguna Copín","Chl-Crr_LagunCpn",-70.558,-32.6,"Chile-Andean",2013
"27","Laguna de Teno","Chl-Crr_LagundTn",-70.549,-35.177,"Chile-Andean",2013
"28","Laguna Negra-Chile","Chl-Crr_LagunNgr",-70.125,-33.648,"Chile-Andean",2013
"29","Laguna Ocho","Chl-Crr_LagunOch",-70.317,-34.0299,"Chile-Andean",2013
"30","Laguna Canchuca","Chl-Crr_LgnCnchc",-70.585,-32.087,"Chile-Andean",2013
"31","Laguna del Inca","Chl-Crr_LgndlInc",-70.133,-32.822,"Chile-Andean",2013
"32","Belmira","Clm-A-C_Belmir-1",-75.64,6.62,"Colombia-Andes",2013
"33","Belmira","Clm-A-C_Belmir-2",-75.64,6.62,"Colombia-Andes",2013
"34","Belmira","Clm-A-C_Belmir-3",-75.64,6.62,"Colombia-Andes",2013
"35","Guarne","Clm-A-C_Guarne-1",-75.52,6.27,"Colombia-Andes",2001
"36","Guarne","Clm-A-C_Guarne-2",-75.52,6.27,"Colombia-Andes",2001
"37","Cucunoba","Clm-A-E_Cucunb-1",-73.78,5.28,"Colombia-Andes",2001
"38","Cucunoba","Clm-A-E_Cucunb-2",-73.78,5.28,"Colombia-Andes",2001
"39","Fuquene","Clm-A-E_Fuquen-1",-73.752,5.466,"Colombia-Andes",2001
"40","Fuquene","Clm-A-E_Fuquen-2",-73.752,5.466,"Colombia-Andes",2001
"41","Fuquene","Clm-A-E_Fuquen-3",-73.752,5.466,"Colombia-Andes",2001
"42","Fuquene","Clm-A-E_Fuquen-4",-73.752,5.466,"Colombia-Andes",2001
"43","Guatavita","Clm-A-E_Guatvt-1",-73.775,4.977,"Colombia-Andes",2001
"44","Guatavita","Clm-A-E_Guatvt-2",-73.775,4.977,"Colombia-Andes",2001
"45","Herrera","Clm-A-E_Herrer-1",-74.27,4.69,"Colombia-Andes",2001
"46","Herrera","Clm-A-E_Herrer-2",-74.27,4.69,"Colombia-Andes",2001
"47","Suesca","Clm-A-E_Suesca-1",-73.78,5.18,"Colombia-Andes",2001
"48","Suesca","Clm-A-E_Suesca-2",-73.78,5.18,"Colombia-Andes",2001
"49","Ubaque","Clm-A-E_Ubaqu-10",-73.93,4.5,"Colombia-Andes",2014
"50","Ubaque","Clm-A-E_Ubaqu-11",-73.93,4.5,"Colombia-Andes",2014
"51","Ubaque","Clm-A-E_Ubaqu-12",-73.93,4.5,"Colombia-Andes",2014
"52","Ubaque","Clm-A-E_Ubaque-1",-73.93,4.5,"Colombia-Andes",2014
"53","Ubaque","Clm-A-E_Ubaque-2",-73.93,4.5,"Colombia-Andes",2014
"54","Ubaque","Clm-A-E_Ubaque-3",-73.93,4.5,"Colombia-Andes",2014
"55","Ubaque","Clm-A-E_Ubaque-4",-73.93,4.5,"Colombia-Andes",2014
"56","Ubaque","Clm-A-E_Ubaque-5",-73.93,4.5,"Colombia-Andes",2014
"57","Ubaque","Clm-A-E_Ubaque-6",-73.93,4.5,"Colombia-Andes",2014
"58","Ubaque","Clm-A-E_Ubaque-7",-73.93,4.5,"Colombia-Andes",2014
"59","Ubaque","Clm-A-E_Ubaque-8",-73.93,4.5,"Colombia-Andes",2014
"60","Ubaque","Clm-A-E_Ubaque-9",-73.93,4.5,"Colombia-Andes",2014
"61","Verjon","Clm-A-E_Verjon-1",-74.02,4.56,"Colombia-Andes",2001
"62","Verjon","Clm-A-E_Verjon-2",-74.02,4.56,"Colombia-Andes",2001
"63","Verjon","Clm-A-E_Verjon-3",-74.02,4.56,"Colombia-Andes",2001
"64","Laguna Challacaba","Cochbmb_LgnChllc",-65.569444,-17.597222,"Desaguadero-SAltiplano",2007
"65","Cusco-PLS-10","Cusco_C-PLS-10",-70.93598,-15.08645,"Cusco",2011
"66","Cusco-PLS-11","Cusco_C-PLS-11",-71.72103,-13.62051,"Cusco",2011
"67","Cusco-PLS-12","Cusco_C-PLS-12",-71.463,-14.12512,"Cusco",2011
"68","Cusco-PLS-13","Cusco_C-PLS-13",-71.6932,-13.40322,"Cusco",2011
"69","Cusco-PLS-1","Cusco_Cs-PLS-1",-72.04578,-13.41602,"Cusco",2011
"70","Cusco-PLS-2","Cusco_Cs-PLS-2",-72.12657,-13.39754,"Cusco",2011
"71","Cusco-PLS-3","Cusco_Cs-PLS-3",-71.72196,-14.58489,"Cusco",2011
"72","Cusco-PLS-4","Cusco_Cs-PLS-4",-71.70603,-14.59023,"Cusco",2011
"73","Cusco-PLS-5","Cusco_Cs-PLS-5",-70.25166,-13.86321,"Cusco",2011
"74","Cusco-PLS-6","Cusco_Cs-PLS-6",-70.31148,-13.92911,"Cusco",2011
"75","Cusco-PLS-7","Cusco_Cs-PLS-7",-70.3072,-13.86333,"Cusco",2011
"76","Cusco-PLS-8","Cusco_Cs-PLS-8",-70.30087,-13.90595,"Cusco",2011
"77","Cusco-PLS-9","Cusco_Cs-PLS-9",-70.49856,-14.72749,"Cusco",2011
"78","Cusco-CH1","Cusco_Cusc-CH1",-70.86565,-13.91556,"Cusco",2011
"79","Cusco-DP1","Cusco_Cusc-DP1",-70.90269,-13.94436,"Cusco",2011
"80","Cusco-IA1","Cusco_Cusc-IA1",-70.90091,-13.9481,"Cusco",2011
"81","Cusco-YC1","Cusco_Cusc-YC1",-70.87478,-13.94529,"Cusco",2011
"82","Caricocha","EpNGEO-F_Caricoch",-78.266149,0.137846,"Ecuador-Andean",2017
"83","Chiriacu","EpNGEO-F_Chiriacu1",-78.273,0.114,"Ecuador-Andean",2017
"84","Cubilche","EpNGEO-F_Cubilche1",-78.134,0.232,"Ecuador-Andean",2017
"85","Cuicocha","EpNGEO-F_Cuicocha1",-78.36666667,0.3,"Ecuador-Andean",2017
"86","Cunrro","EpNGEO-F_Cunrro1",-78.089,0.235,"Ecuador-Interandean",2017
"87","Huarmicocha","EpNGEO-F_Huarmcch1",-78.254,0.129,"Ecuador-Andean",2017
"88","San Pablo","EpNGEO-F_SanPablo",-78.233,0.2166,"Ecuador-Interandean",2017
"89","Yahuarcocha","EpNGEO-F_Yahurcch",-78.10163467,0.371130241,"Ecuador-Interandean",2017
"90","Yambo","EpNGEO-F_Yambo1",-78.586,-1.104,"Ecuador-Interandean",2017
"91","Yanacocha","EpNGEO-F_Yanacoch1",-78.251,0.124,"Ecuador-Andean",2017
"92","Colta-2","EpNGEO-J_Colta-22",-78.759,-1.727,"Ecuador-Interandean",2017
"93","Dos Chorreras","EpNGEO-J_DsChrrrs1",-79.159722,-2.770278,"Ecuador-Andean",2017
"94","Estrellascocha","EpNGEO-J_Estrllsc1",-79.25378188,-2.9133061,"Ecuador-Andean",2017
"95","Fondococha","EpNGEO-J_Fondocch1",-79.23635015,-2.759813487,"Ecuador-Andean",2017
"96","Jigeno","EpNGEO-J_Jigeno1",-79.292,-2.9118,"Ecuador-Andean",2017
"97","Kuyuk","EpNGEO-J_Kuyuk1",-78.5,-2.18,"Ecuador-Andean",2017
"98","Llaviucu","EpNGEO-J_Llaviucu",-79.146,-2.8429,"Ecuador-Andean",2017
"99","Marmolcocha","EpNGEO-J_Marmlcch1",-79.219,-2.781,"Ecuador-Andean",2017
"100","Laguna Cachi","Frt-SAA_LagunCch",-67.945011,-21.730115,"Sud Lipez",1991
"101","Salar de Uyuni","Frt-SAA_SalrdUyn1",-67.66479,-20.14363,"Sud Lipez",1991
"102","Asiruni","GslngBA_Asiruni",-70.37051667,-16.38546667,"Peruvian Andes",2003
"103","Calzada","GslngBA_Calzada",-70.51196667,-15.90268333,"Peruvian Andes",2003
"104","Chacas","GslngBA_Chacas",-70.20376667,-15.40938333,"Peruvian Andes",2003
"105","Chara Nkkota","GslngBA_CharNkkt",-68.15618333,-16.57995,"Peruvian Andes",2003
"106","Estrellani","GslngBA_Estrelln",-68.0426,-16.33795,"Peruvian Andes",2003
"107","Jacumarini","GslngBA_Jacumarn",-70.39303333,-16.36296667,"Peruvian Andes",2003
"108","Jachcha Kkota","GslngBA_JchchKkt",-68.16758333,-16.5782,"Peruvian Andes",2003
"109","Khara Kkota (north)","GslngBA_KK(nrth)",-68.3617,-16.1327,"Peruvian Andes",2003
"110","Lagunillas","GslngBA_Lagunlls",-70.6765,-15.74625,"Peruvian Andes",2003
"111","Laja","GslngBA_Laja",-68.39031667,-16.52876667,"Peruvian Andes",2003
"112","Lake 23","GslngBA_Lake 23",-68.31545,-16.67815,"Peruvian Andes",2003
"113","Lake 27","GslngBA_Lake 27",-68.27481667,-16.62463333,"Peruvian Andes",2003
"114","Lake 34","GslngBA_Lake 34",-68.95038333,-16.9146,"Peruvian Andes",2003
"115","Lake 6","GslngBA_Lake 6",-70.19568333,-15.65503333,"Peruvian Andes",2003
"116","Maquera","GslngBA_Maquera",-70.56458333,-15.88223333,"Peruvian Andes",2003
"117","Pacuna","GslngBA_Pacuna",-70.20845,-15.57516667,"Peruvian Andes",2003
